"MarkettypeID","TradingMonth","Portfolios","RiskPremium1","RiskPremium2","SMB1","SMB2","HML1","HML2","RMW1","RMW2","CMA1","CMA2"
"P9709","1994-01","2","-0.107550","-0.091550","0.083307","0.082477","0.044330","0.065324","-0.015109","-0.006136","-0.010966","-0.002309"
"P9709","1994-01","1","-0.107550","-0.091550","0.087764","0.087400","0.060706","0.068702","-0.011126","-0.006539","-0.007488","0.004388"
"P9713","1994-01","2","-0.110550","-0.101550","0.049579","0.049422","0.020244","0.031541","0.013267","0.012590","0.017842","0.021362"
"P9713","1994-01","1","-0.110550","-0.101550","0.046966","0.048222","0.059238","0.070513","-0.002904","0.000228","0.037042","0.040725"
"P9714","1994-01","2","-0.107550","-0.091550","0.082914","0.081868","0.044330","0.065324","-0.013928","-0.004310","-0.010966","-0.002309"
"P9714","1994-01","1","-0.107550","-0.091550","0.086776","0.087460","0.060706","0.068702","-0.017942","-0.020783","-0.007488","0.004388"
"P9709","1994-02","2","0.006450","-0.000550","-0.001085","0.000651","-0.010984","-0.027137","0.003523","0.018734","0.017768","0.020453"
"P9709","1994-02","1","0.006450","-0.000550","-0.007219","-0.006779","-0.014234","-0.010178","0.008018","0.029731","0.022981","0.026945"
"P9713","1994-02","1","0.000450","-0.003550","0.041017","0.045369","0.004506","-0.000666","-0.100453","-0.098732","0.013821","0.019186"
"P9713","1994-02","2","0.000450","-0.003550","0.042133","0.047379","0.047356","0.029949","-0.059149","-0.043643","0.012922","0.017063"
"P9714","1994-02","2","0.006450","-0.000550","-0.000994","0.000789","-0.010984","-0.027137","0.003251","0.018319","0.017768","0.020453"
"P9714","1994-02","1","0.006450","-0.000550","-0.007701","-0.009823","-0.014234","-0.010178","0.007726","0.024802","0.022981","0.026945"
"P9709","1994-03","2","-0.112550","-0.104550","0.132502","0.118016","-0.029032","0.031581","-0.028907","-0.039036","0.116797","0.120636"
"P9709","1994-03","1","-0.112550","-0.104550","0.140444","0.129350","-0.007590","0.048010","-0.028899","-0.027154","0.109919","0.111636"
"P9713","1994-03","1","-0.126550","-0.114550","0.155067","0.145939","-0.039595","0.007353","-0.014577","0.020590","0.047081","0.054102"
