stock_code,sw_l1_industry_name,sw_l1_industry_name_eng
002539,化工,Chemicals
002540,有色金属,Nonferrous Metal
002541,建筑装饰,Construction Decoration
002542,建筑装饰,Construction Decoration
002543,家用电器,Household Appliances
002544,通信,Telecommunication
002545,化工,Chemicals
002546,电气设备,Electrical Equipment
002547,电子,Electronics
002548,农林牧渔,Agriculture
002549,化工,Chemicals
002550,医药生物,Health Care
002551,医药生物,Health Care
002552,机械设备,Machinery Equipment
002553,汽车,Automobile
002554,采掘,Mining
002555,传媒,Media
002556,化工,Chemicals
002557,食品饮料,Food and Beverage
002558,传媒,Media
002559,机械设备,Machinery Equipment
002560,电气设备,Electrical Equipment
002561,商业贸易,Commerce
002562,化工,Chemicals
002563,纺织服装,Textile and Apparel
002564,机械设备,Machinery Equipment
