stock_code,sw_l1_industry_name,sw_l1_industry_name_eng
000524,休闲服务,Leisure Services
000525,化工,Chemicals
000526,传媒,Media
000528,机械设备,Machinery Equipment
000529,传媒,Media
000530,机械设备,Machinery Equipment
000531,公用事业,Utilities
000532,电子,Electronics
000533,电气设备,Electrical Equipment
000534,医药生物,Health Care
000536,电子,Electronics
000537,房地产,Real Estate
000538,医药生物,Health Care
000539,公用事业,Utilities
000540,房地产,Real Estate
000541,电子,Electronics
000543,公用事业,Utilities
000544,公用事业,Utilities
000545,化工,Chemicals
000546,建筑材料,Construction Materials
000547,国防军工,Military
000548,交通运输,Transportation
000550,汽车,Automobile
000551,机械设备,Machinery Equipment
000552,采掘,Mining
000553,化工,Chemicals
000554,化工,Chemicals
000555,计算机,Computer
000557,交通运输,Transportation
000558,房地产,Real Estate
000559,汽车,Automobile
000560,房地产,Real Estate
000561,国防军工,Military
000563,非银金融,Non-bank Finance
000564,商业贸易,Commerce
000565,化工,Chemicals
000566,医药生物,Health Care
000567,非银金融,Non-bank Finance
000568,食品饮料,Food and Beverage
000570,机械设备,Machinery Equipment
000571,采掘,Mining
000572,汽车,Automobile
000573,房地产,Real Estate
000576,国防军工,Military
000581,汽车,Automobile
000582,交通运输,Transportation
000584,机械设备,Machinery Equipment
000585,电气设备,Electrical Equipment
000586,通信,Telecommunication
000587,轻工制造,Light-industry Manufacturing
000589,化工,Chemicals
000590,医药生物,Health Care
000591,公用事业,Utilities
000592,农林牧渔,Agriculture
000593,公用事业,Utilities
000595,机械设备,Machinery Equipment
000596,食品饮料,Food and Beverage
000597,医药生物,Health Care
000598,公用事业,Utilities
000599,化工,Chemicals
000600,公用事业,Utilities
000601,公用事业,Utilities
000603,有色金属,Nonferrous Metal
000605,公用事业,Utilities
000606,计算机,Computer
000607,传媒,Media
000608,房地产,Real Estate
000609,房地产,Real Estate
000610,休闲服务,Leisure Services
000611,纺织服装,Textile and Apparel
000612,有色金属,Nonferrous Metal
000613,休闲服务,Leisure Services
000615,房地产,Real Estate
000616,房地产,Real Estate
000617,非银金融,Non-bank Finance
000619,建筑材料,Construction Materials
000620,房地产,Real Estate
000622,汽车,Automobile
000623,医药生物,Health Care
000625,汽车,Automobile
000626,商业贸易,Commerce
000627,非银金融,Non-bank Finance
000628,建筑装饰,Construction Decoration
000629,采掘,Mining
000630,有色金属,Nonferrous Metal
000631,房地产,Real Estate
000632,综合,Conglomerate
000633,有色金属,Nonferrous Metal
000635,化工,Chemicals
000636,电子,Electronics
000637,化工,Chemicals
000638,综合,Conglomerate
000639,食品饮料,Food and Beverage
000650,医药生物,Health Care
000651,家用电器,Household Appliances
000652,综合,Conglomerate
000655,采掘,Mining
000656,房地产,Real Estate
000657,有色金属,Nonferrous Metal
000659,轻工制造,Light-industry Manufacturing
000661,医药生物,Health Care
000662,计算机,Computer
000663,轻工制造,Light-industry Manufacturing
000665,传媒,Media
000666,非银金融,Non-bank Finance
000667,房地产,Real Estate
000668,房地产,Real Estate
000669,公用事业,Utilities
000670,电子,Electronics
000671,房地产,Real Estate
000672,建筑材料,Construction Materials
000673,传媒,Media
000676,传媒,Media
000677,化工,Chemicals
000678,汽车,Automobile
000679,房地产,Real Estate
000680,机械设备,Machinery Equipment
000681,传媒,Media
000682,电气设备,Electrical Equipment
000683,化工,Chemicals
000685,公用事业,Utilities
000686,非银金融,Non-bank Finance
000687,国防军工,Military
000688,有色金属,Nonferrous Metal
000690,公用事业,Utilities
000691,房地产,Real Estate
000692,公用事业,Utilities
000695,轻工制造,Light-industry Manufacturing
000697,国防军工,Military
000698,化工,Chemicals
000700,汽车,Automobile
000701,电子,Electronics
000702,农林牧渔,Agriculture
000703,化工,Chemicals
000705,医药生物,Health Care
000707,化工,Chemicals
000708,钢铁,Steel
000709,钢铁,Steel
000710,医药生物,Health Care
000711,公用事业,Utilities
000712,非银金融,Non-bank Finance
000713,农林牧渔,Agriculture
000715,商业贸易,Commerce
000716,食品饮料,Food and Beverage
000717,钢铁,Steel
000718,房地产,Real Estate
000719,传媒,Media
000720,公用事业,Utilities
000721,休闲服务,Leisure Services
000722,公用事业,Utilities
000723,采掘,Mining
000725,电子,Electronics
000726,纺织服装,Textile and Apparel
000727,电子,Electronics
000728,非银金融,Non-bank Finance
000729,食品饮料,Food and Beverage
000731,化工,Chemicals
000732,房地产,Real Estate
000733,电子,Electronics
000735,农林牧渔,Agriculture
000736,房地产,Real Estate
000737,化工,Chemicals
000738,国防军工,Military
000739,医药生物,Health Care
000750,非银金融,Non-bank Finance
000751,有色金属,Nonferrous Metal
000752,食品饮料,Food and Beverage
000753,汽车,Automobile
000755,交通运输,Transportation
000756,医药生物,Health Care
000757,汽车,Automobile
000758,有色金属,Nonferrous Metal
000759,商业贸易,Commerce
000760,汽车,Automobile
000761,钢铁,Steel
000762,采掘,Mining
000766,医药生物,Health Care
000767,公用事业,Utilities
000768,国防军工,Military
000776,非银金融,Non-bank Finance
000777,机械设备,Machinery Equipment
000778,钢铁,Steel
000779,建筑装饰,Construction Decoration
000780,采掘,Mining
000782,化工,Chemicals
000783,非银金融,Non-bank Finance
000785,商业贸易,Commerce
000786,建筑材料,Construction Materials
000788,医药生物,Health Care
000789,建筑材料,Construction Materials
000790,医药生物,Health Care
000791,公用事业,Utilities
000792,化工,Chemicals
000793,传媒,Media
000795,有色金属,Nonferrous Metal
000796,休闲服务,Leisure Services
000797,房地产,Real Estate
000798,农林牧渔,Agriculture
000799,食品饮料,Food and Beverage
000800,汽车,Automobile
000801,家用电器,Household Appliances
000802,传媒,Media
000803,电气设备,Electrical Equipment
000806,电气设备,Electrical Equipment
000807,有色金属,Nonferrous Metal
000809,房地产,Real Estate
000810,家用电器,Household Appliances
000811,机械设备,Machinery Equipment
000812,轻工制造,Light-industry Manufacturing
000813,医药生物,Health Care
000815,轻工制造,Light-industry Manufacturing
000816,机械设备,Machinery Equipment
000818,化工,Chemicals
000819,化工,Chemicals
000820,公用事业,Utilities
000821,机械设备,Machinery Equipment
000822,化工,Chemicals
000823,电子,Electronics
000825,钢铁,Steel
000826,公用事业,Utilities
000828,交通运输,Transportation
000829,商业贸易,Commerce
000830,化工,Chemicals
000831,有色金属,Nonferrous Metal
000833,采掘,Mining
000835,传媒,Media
000836,通信,Telecommunication
000837,机械设备,Machinery Equipment
000838,房地产,Real Estate
000839,综合,Conglomerate
000848,食品饮料,Food and Beverage
000850,纺织服装,Textile and Apparel
000851,通信,Telecommunication
000852,机械设备,Machinery Equipment
000856,机械设备,Machinery Equipment
000858,食品饮料,Food and Beverage
000859,化工,Chemicals
000860,食品饮料,Food and Beverage
000861,商业贸易,Commerce
000862,公用事业,Utilities
000863,房地产,Real Estate
000868,汽车,Automobile
000869,食品饮料,Food and Beverage
000875,公用事业,Utilities
000876,农林牧渔,Agriculture
000877,建筑材料,Construction Materials
000878,有色金属,Nonferrous Metal
000880,机械设备,Machinery Equipment
000881,化工,Chemicals
000882,商业贸易,Commerce
000883,公用事业,Utilities
000885,交通运输,Transportation
000886,交通运输,Transportation
000887,汽车,Automobile
000888,休闲服务,Leisure Services
000889,通信,Telecommunication
000890,非银金融,Non-bank Finance
000892,传媒,Media
000893,化工,Chemicals
000895,食品饮料,Food and Beverage
000897,房地产,Real Estate
000898,钢铁,Steel
000899,公用事业,Utilities
000900,交通运输,Transportation
000901,机械设备,Machinery Equipment
000902,化工,Chemicals
000903,汽车,Automobile
000905,交通运输,Transportation
000906,商业贸易,Commerce
000908,医药生物,Health Care
000909,房地产,Real Estate
000910,轻工制造,Light-industry Manufacturing
000911,农林牧渔,Agriculture
000912,化工,Chemicals
000913,汽车,Automobile
000915,医药生物,Health Care
000917,传媒,Media
000918,房地产,Real Estate
000919,医药生物,Health Care
000920,公用事业,Utilities
000921,家用电器,Household Appliances
000922,电气设备,Electrical Equipment
000923,采掘,Mining
000925,机械设备,Machinery Equipment
000926,房地产,Real Estate
000927,汽车,Automobile
000928,建筑装饰,Construction Decoration
000929,食品饮料,Food and Beverage
000930,农林牧渔,Agriculture
000931,医药生物,Health Care
000932,钢铁,Steel
000933,有色金属,Nonferrous Metal
000935,建筑材料,Construction Materials
000936,化工,Chemicals
000937,采掘,Mining
000938,计算机,Computer
000948,计算机,Computer
000949,化工,Chemicals
000950,医药生物,Health Care
000951,汽车,Automobile
000952,医药生物,Health Care
000953,化工,Chemicals
000955,纺织服装,Textile and Apparel
000957,汽车,Automobile
000958,非银金融,Non-bank Finance
000959,钢铁,Steel
000960,有色金属,Nonferrous Metal
000961,房地产,Real Estate
000962,有色金属,Nonferrous Metal
000963,医药生物,Health Care
000965,房地产,Real Estate
000966,公用事业,Utilities
000967,公用事业,Utilities
000968,采掘,Mining
000969,有色金属,Nonferrous Metal
000970,有色金属,Nonferrous Metal
000971,通信,Telecommunication
000972,农林牧渔,Agriculture
000973,化工,Chemicals
000975,有色金属,Nonferrous Metal
000976,机械设备,Machinery Equipment
000977,计算机,Computer
000978,休闲服务,Leisure Services
000980,汽车,Automobile
000981,房地产,Real Estate
000982,纺织服装,Textile and Apparel
000983,采掘,Mining
000985,化工,Chemicals
000987,非银金融,Non-bank Finance
000988,电子,Electronics
000989,医药生物,Health Care
000990,化工,Chemicals
000993,公用事业,Utilities
000995,食品饮料,Food and Beverage
000996,汽车,Automobile
000997,计算机,Computer
000998,农林牧渔,Agriculture
000999,医药生物,Health Care
001696,汽车,Automobile
001872,交通运输,Transportation
001896,公用事业,Utilities
001914,房地产,Real Estate
001965,交通运输,Transportation
001979,房地产,Real Estate
002001,医药生物,Health Care
002002,化工,Chemicals
002003,纺织服装,Textile and Apparel
002004,化工,Chemicals
002005,电子,Electronics
002006,机械设备,Machinery Equipment
002007,医药生物,Health Care
002008,电子,Electronics
002009,机械设备,Machinery Equipment
002010,交通运输,Transportation
002011,家用电器,Household Appliances
002012,轻工制造,Light-industry Manufacturing
002013,国防军工,Military
002014,轻工制造,Light-industry Manufacturing
002015,公用事业,Utilities
002016,房地产,Real Estate
002017,通信,Telecommunication
002019,医药生物,Health Care
002020,医药生物,Health Care
002021,机械设备,Machinery Equipment
002022,医药生物,Health Care
002023,国防军工,Military
002024,商业贸易,Commerce
002025,国防军工,Military
002026,机械设备,Machinery Equipment
002027,传媒,Media
002028,电气设备,Electrical Equipment
002029,纺织服装,Textile and Apparel
002030,医药生物,Health Care
002031,机械设备,Machinery Equipment
002032,家用电器,Household Appliances
002033,休闲服务,Leisure Services
002034,公用事业,Utilities
