Date,Price
2005-04-01,1.933
2008-04-01,3.218
2009-04-01,1.095
2010-04-01,1.61
2011-04-01,2.9
2012-04-01,2.85
2013-04-01,2.67
2014-04-01,2.87
2015-04-01,3.21
2016-04-01,2.165
2017-04-01,2.895
2019-04-01,2.3930000000000002
2020-04-01,1.725
2007-04-02,2.199
2008-04-02,3.127
2009-04-02,1.091
2010-04-02,1.45
2011-04-02,2.9
2013-04-02,2.7
2014-04-02,2.87
2015-04-02,3.207
2018-04-02,3.325
2019-04-02,2.39
2020-04-02,1.72
2006-04-03,1.736
2007-04-03,2.3
2008-04-03,3.299
2009-04-03,1.037
2013-04-03,2.65
2014-04-03,2.87
2015-04-03,3.173
2017-04-03,2.895
2018-04-03,3.298
2019-04-03,2.437
2020-04-03,1.55
2005-04-04,2.013
2006-04-04,1.743
2007-04-04,2.199
2014-04-04,2.87
2016-04-04,2.165
2018-04-04,3.295
2019-04-04,2.415
2005-04-05,1.9269999999999998
2006-04-05,1.7930000000000001
2007-04-05,2.21
2012-04-05,2.95
2016-04-05,2.16
2017-04-05,2.9410000000000003
2005-04-06,1.962
2006-04-06,1.778
2007-04-06,2.2969999999999997
2010-04-06,1.48
2011-04-06,2.95
2012-04-06,2.87
2016-04-06,2.168
2017-04-06,3.01
2018-04-06,3.31
2005-04-07,1.857
2006-04-07,1.7730000000000001
2008-04-07,3.0989999999999998
2009-04-07,1.099
2010-04-07,1.48
2011-04-07,2.82
2013-04-07,2.67
2015-04-07,3.159
2016-04-07,2.17
2017-04-07,3.0180000000000002
2018-04-07,3.31
2020-04-07,1.5
2005-04-08,1.889
2008-04-08,3.0989999999999998
2009-04-08,1.015
2010-04-08,1.46
2011-04-08,2.87
2013-04-08,2.67
2014-04-08,2.97
2015-04-08,3.159
2016-04-08,2.18
2018-04-08,3.3
2019-04-08,2.443
2020-04-08,1.3
2007-04-09,2.298
2008-04-09,3.096
2009-04-09,0.995
2010-04-09,1.45
2012-04-09,2.75
2013-04-09,2.73
2014-04-09,2.98
2015-04-09,3.157
2018-04-09,3.2969999999999997
2019-04-09,2.39
2020-04-09,1.197
2006-04-10,1.719
2007-04-10,2.299
2008-04-10,3.113
2009-04-10,1.117
2012-04-10,2.75
2013-04-10,2.63
2014-04-10,3.15
2015-04-10,3.112
2017-04-10,3.034
2018-04-10,3.26
2019-04-10,2.417
2020-04-10,1.193
2005-04-11,1.8330000000000002
2006-04-11,1.724
2007-04-11,2.31
2008-04-11,3.299
2011-04-11,2.9
2012-04-11,2.8
2013-04-11,2.63
2014-04-11,3.22
2016-04-11,2.18
2017-04-11,3.0460000000000003
2018-04-11,3.265
2019-04-11,2.417
2005-04-12,1.716
2006-04-12,1.7280000000000002
2007-04-12,2.3
2010-04-12,1.48
2011-04-12,2.9
2012-04-12,2.87
2013-04-12,2.63
2016-04-12,2.18
2017-04-12,3.0410000000000004
2018-04-12,3.2430000000000003
2019-04-12,2.437
2005-04-13,1.7790000000000001
2006-04-13,1.724
2007-04-13,2.311
2009-04-13,1.0959999999999999
2010-04-13,1.47
2011-04-13,2.82
2012-04-13,2.86
2015-04-13,3.134
2016-04-13,2.1919999999999997
2017-04-13,3.036
2018-04-13,3.248
2020-04-13,1.21
2005-04-14,1.716
2006-04-14,1.7280000000000002
2008-04-14,3.076
2009-04-14,1.018
2010-04-14,1.47
2011-04-14,2.89
2014-04-14,3.36
2015-04-14,3.1180000000000003
2016-04-14,2.195
2017-04-14,3.05
2020-04-14,1.263
2005-04-15,1.764
2008-04-15,3.1
2009-04-15,1.126
2010-04-15,1.54
2011-04-15,2.82
2013-04-15,2.63
2014-04-15,3.34
2015-04-15,3.127
2016-04-15,2.19
2019-04-15,2.49
2020-04-15,1.195
2007-04-16,2.293
2008-04-16,3.217
2009-04-16,1.095
2010-04-16,1.46
2012-04-16,2.85
2013-04-16,2.63
2014-04-16,3.36
2015-04-16,3.12
2018-04-16,3.218
2019-04-16,2.505
2020-04-16,1.22
2006-04-17,1.734
2007-04-17,2.302
2008-04-17,3.0660000000000003
2009-04-17,1.1
2012-04-17,2.9
2013-04-17,2.67
2014-04-17,3.36
2015-04-17,3.09
2017-04-17,3.0810000000000004
2018-04-17,3.187
2019-04-17,2.54
2020-04-17,1.2
2005-04-18,1.931
2006-04-18,1.7590000000000001
2007-04-18,2.293
2008-04-18,3.0989999999999998
2011-04-18,2.87
2012-04-18,2.87
2013-04-18,2.68
2014-04-18,3.38
2016-04-18,2.205
2017-04-18,3.1
2018-04-18,3.09
2019-04-18,2.7
2005-04-19,1.895
2006-04-19,1.768
2007-04-19,2.1919999999999997
2010-04-19,1.46
2011-04-19,2.89
2012-04-19,2.87
2013-04-19,2.68
2016-04-19,2.193
2017-04-19,3.1180000000000003
2018-04-19,2.957
2019-04-19,2.6830000000000003
2005-04-20,1.89
2006-04-20,1.847
2007-04-20,2.59
2009-04-20,1.077
2010-04-20,1.52
2011-04-20,2.89
2012-04-20,2.84
2015-04-20,3.093
2016-04-20,2.205
2017-04-20,3.127
2018-04-20,2.995
2020-04-20,1.21
2005-04-21,1.851
2006-04-21,1.849
2008-04-21,3.052
2009-04-21,1.099
2010-04-21,1.56
2011-04-21,2.9
2014-04-21,3.42
2015-04-21,3.073
2016-04-21,2.202
2017-04-21,3.1439999999999997
2020-04-21,1.22
2005-04-22,1.8619999999999999
2008-04-22,3.075
2009-04-22,1.125
2010-04-22,1.56
2011-04-22,2.84
2013-04-22,2.8
2014-04-22,3.6
2015-04-22,2.918
2016-04-22,2.213
2017-04-22,3.1439999999999997
2019-04-22,2.694
2020-04-22,1.205
2007-04-23,2.59
2008-04-23,3.071
2009-04-23,0.953
2010-04-23,1.68
2012-04-23,2.85
2013-04-23,2.7
2014-04-23,3.45
2015-04-23,2.9810000000000003
2018-04-23,2.987
2019-04-23,2.705
2020-04-23,1.157
2006-04-24,1.6780000000000002
2007-04-24,2.294
2008-04-24,3.06
2009-04-24,1.0759999999999998
2012-04-24,2.84
2013-04-24,2.82
2014-04-24,3.43
2015-04-24,2.987
2017-04-24,3.1319999999999997
2018-04-24,3.003
2019-04-24,2.69
2020-04-24,1.165
2005-04-25,1.936
2006-04-25,1.6980000000000002
2007-04-25,2.294
2008-04-25,3.2880000000000003
2011-04-25,2.82
2012-04-25,2.86
2013-04-25,2.89
2014-04-25,3.43
2016-04-25,2.218
2017-04-25,3.14
2018-04-25,3.01
2019-04-25,2.693
2005-04-26,1.955
2006-04-26,1.8730000000000002
2007-04-26,2.295
2010-04-26,1.47
2011-04-26,2.95
2012-04-26,2.86
2013-04-26,2.89
2016-04-26,2.35
2017-04-26,3.13
2018-04-26,3.0069999999999997
2019-04-26,2.69
2020-04-26,1.157
2005-04-27,1.9340000000000002
2006-04-27,1.953
2007-04-27,2.293
2009-04-27,1.1
2010-04-27,1.5
2011-04-27,2.82
2012-04-27,2.82
2013-04-27,2.89
2015-04-27,2.946
2016-04-27,2.35
2017-04-27,3.1319999999999997
2018-04-27,3.035
2020-04-27,1.166
2005-04-28,1.989
2006-04-28,1.953
2007-04-28,2.2969999999999997
2008-04-28,3.196
2009-04-28,1.045
2010-04-28,1.64
2011-04-28,2.82
2012-04-28,2.86
2014-04-28,3.42
2015-04-28,2.906
2016-04-28,2.218
2017-04-28,3.16
2018-04-28,3.0069999999999997
2019-04-28,2.66
2020-04-28,1.158
2005-04-29,1.973
2006-04-29,1.95
2007-04-29,2.343
2008-04-29,3.095
2009-04-29,1.1
2010-04-29,1.52
2011-04-29,2.8
2014-04-29,3.61
2015-04-29,2.88
2016-04-29,2.218
2019-04-29,2.6639999999999997
2020-04-29,1.156
2005-04-30,1.965
2007-04-30,2.272
2008-04-30,3.063
2009-04-30,1.111
2010-04-30,1.6
2014-04-30,3.65
2015-04-30,2.8689999999999998
2019-04-30,2.685
2020-04-30,1.143
2005-08-01,1.459
2006-08-01,2.1
2007-08-01,2.886
2008-08-01,3.475
2011-08-01,3.34
2012-08-01,2.2
2013-08-01,3.5
2014-08-01,3.7560000000000002
2016-08-01,2.2430000000000003
2017-08-01,3.447
2018-08-01,2.853
2019-08-01,2.588
2005-08-02,1.45
2006-08-02,2.36
2007-08-02,2.887
2010-08-02,1.93
2011-08-02,3.79
2012-08-02,2.2
2013-08-02,3.5
2014-08-02,3.7560000000000002
2016-08-02,2.24
2017-08-02,3.447
2018-08-02,2.81
2019-08-02,2.574
2005-08-03,1.399
2006-08-03,2.309
2007-08-03,2.923
2009-08-03,1.75
2010-08-03,1.93
2011-08-03,3.88
2012-08-03,2.4
2015-08-03,2.27
2016-08-03,2.233
2017-08-03,3.428
2018-08-03,2.798
2020-08-03,2.32
2005-08-04,1.358
2006-08-04,2.305
2008-08-04,3.572
2009-08-04,1.7
2010-08-04,1.93
2011-08-04,3.8
2014-08-04,3.7539999999999996
2015-08-04,2.198
2016-08-04,2.2230000000000003
2017-08-04,3.427
2020-08-04,2.28
2005-08-05,1.423
2008-08-05,3.4789999999999996
2009-08-05,1.7
2010-08-05,1.98
2011-08-05,3.79
2013-08-05,3.51
2014-08-05,3.7489999999999997
2015-08-05,2.1630000000000003
2016-08-05,2.21
2019-08-05,2.591
2020-08-05,2.34
2007-08-06,3.011
2008-08-06,3.645
2009-08-06,1.71
2010-08-06,1.93
2012-08-06,2.25
2013-08-06,3.42
2014-08-06,3.7430000000000003
2015-08-06,2.176
2016-08-06,2.21
2017-08-06,3.427
2018-08-06,2.707
2019-08-06,2.5660000000000003
2020-08-06,2.31
2006-08-07,2.324
2007-08-07,2.926
2008-08-07,3.5839999999999996
2009-08-07,1.61
2012-08-07,2.45
2013-08-07,3.36
2014-08-07,3.7319999999999998
2015-08-07,2.096
2017-08-07,3.366
2018-08-07,2.675
2019-08-07,2.552
2020-08-07,2.37
2005-08-08,1.272
2006-08-08,2.353
2007-08-08,2.891
2008-08-08,3.523
2011-08-08,3.79
2012-08-08,2.4
2013-08-08,3.39
2014-08-08,3.736
2016-08-08,2.2
2017-08-08,3.4010000000000002
2018-08-08,2.638
2019-08-08,2.54
2005-08-09,1.2309999999999999
2006-08-09,2.248
2007-08-09,2.892
2010-08-09,1.93
2011-08-09,3.58
2012-08-09,2.46
2013-08-09,3.49
2016-08-09,2.19
2017-08-09,3.403
2018-08-09,2.6839999999999997
2019-08-09,2.545
2005-08-10,1.36
2006-08-10,2.252
2007-08-10,2.892
2009-08-10,1.7
2010-08-10,1.91
2011-08-10,3.65
2012-08-10,2.37
2013-08-10,3.49
2014-08-10,3.736
2015-08-10,2.206
2016-08-10,2.173
2017-08-10,3.398
2018-08-10,2.78
2020-08-10,2.33
2005-08-11,1.262
2006-08-11,2.254
2008-08-11,3.69
2009-08-11,1.7
2010-08-11,1.93
2011-08-11,3.55
2013-08-11,3.49
2014-08-11,3.7260000000000004
2015-08-11,2.2230000000000003
2016-08-11,2.177
2017-08-11,3.384
2020-08-11,2.3
2005-08-12,1.29
2008-08-12,3.787
2009-08-12,1.67
2010-08-12,1.91
2011-08-12,3.6
2013-08-12,3.49
2014-08-12,3.738
2015-08-12,2.269
2016-08-12,2.173
2019-08-12,2.501
2020-08-12,2.3169999999999997
2007-08-13,2.8510000000000004
2008-08-13,3.69
