,jq_l1_industry_code,jq_l1_industry_name,jq_l2_industry_code,jq_l2_industry_name,sw_l1_industry_code,sw_l1_industry_name,sw_l2_industry_code,sw_l2_industry_name,sw_l2_industry_code,sw_l2_industry_name,zjw_industry_code,zjw_industry_name
002499.XSHE,HY010,公用事业指数,HY601,新能源发电业者指数,801160,公用事业I,801161,电力II,851615,新能源发电III,D44,电力、热力生产和供应业
002500.XSHE,HY007,金融指数,HY501,投资银行业与经纪业指数,801790,非银金融I,801193,证券II,851931,证券III,J67,资本市场服务
002501.XSHE,HY002,材料指数,HY413,铝指数,801050,有色金属I,801055,工业金属II,850551,铝III,C32,有色金属冶炼和压延加工业
002502.XSHE,HY004,可选消费指数,HY462,电影与娱乐指数,801760,传媒I,801752,互联网传媒II,852222,移动互联网服务III,R86,广播、电视、电影和影视录音制作业
002503.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851324,休闲服装III,C18,纺织服装、服饰业
002504.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801722,装修装饰II,857221,装修装饰III,E50,建筑装饰和其他建筑业
002505.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801200,商业贸易I,801202,贸易II,852021,贸易III,F51,批发业
002506.XSHE,HY008,信息技术指数,HY524,半导体产品指数,801730,电气设备I,801733,电源设备II,857333,光伏设备III,C39,计算机、通信和其他电子设备制造业
002507.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851244,食品综合III,C14,食品制造业
002508.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851114,小家电III,C38,电气机械和器材制造业
002509.XSHE,,,,,,,,,,,C35,专用设备制造业
002510.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
002511.XSHE,HY005,日常消费指数,HY483,家庭用品指数,801140,轻工制造I,801143,造纸II,851411,造纸III,C22,造纸和纸制品业
002512.XSHE,HY004,可选消费指数,HY446,消费电子产品指数,801750,计算机I,801101,计算机设备II,851021,计算机设备III,C39,计算机、通信和其他电子设备制造业
002513.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850333,农药III,C26,化学原料和化学制品制造业
002514.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850712,机械基础件III,C33,金属制品业
002515.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851241,肉制品III,C13,农副食品加工业
002516.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C17,纺织业
002517.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801760,传媒I,801752,互联网传媒II,852222,移动互联网服务III,I64,互联网和相关服务
002518.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801733,电源设备II,857335,储能设备III,C38,电气机械和器材制造业
002519.XSHE,HY004,可选消费指数,HY446,消费电子产品指数,801110,家用电器I,801112,视听器材II,851122,其它视听器材III,C39,计算机、通信和其他电子设备制造业
002520.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850711,机床工具III,C34,通用设备制造业
002521.XSHE,HY002,材料指数,HY419,纸制品指数,801140,轻工制造I,801143,造纸II,851411,造纸III,C22,造纸和纸制品业
002522.XSHE,HY002,材料指数,HY405,基础化工指数,801140,轻工制造I,801141,包装印刷II,851421,包装印刷III,C29,橡胶和塑料制品业
002523.XSHE,HY003,工业指数,HY426,建筑机械与重型卡车指数,801890,机械设备I,801074,专用设备II,850724,重型机械III,C34,通用设备制造业
002524.XSHE,HY006,医疗保健指数,HY579,生命科学工具和服务指数,801150,医药生物I,801156,医疗服务II,851561,医疗服务III,Q83,卫生
002526.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850725,冶金矿采化工设备III,C35,专用设备制造业
002527.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801732,电气自动化设备II,857322,工控自动化III,C38,电气机械和器材制造业
002528.XSHE,HY008,信息技术指数,HY596,电子设备和仪器指数,801750,计算机I,801101,计算机设备II,851021,计算机设备III,C39,计算机、通信和其他电子设备制造业
002529.XSHE,HY002,材料指数,HY409,特种化工指数,801890,机械设备I,801074,专用设备II,850727,其它专用机械III,C34,通用设备制造业
002530.XSHE,HY008,信息技术指数,HY510,互联网软件与服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I64,互联网和相关服务
002531.XSHE,HY003,工业指数,HY424,重型电气设备指数,801730,电气设备I,801733,电源设备II,857332,风电设备III,C38,电气机械和器材制造业
002532.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850716,其它通用机械III,C34,通用设备制造业
002533.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801734,高低压设备II,857344,线缆部件及其他III,C38,电气机械和器材制造业
002534.XSHE,HY003,工业指数,HY427,工业机械指数,801730,电气设备I,801733,电源设备II,857336,其它电源设备III,C34,通用设备制造业
002535.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850725,冶金矿采化工设备III,C35,专用设备制造业
002536.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
002537.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,C34,通用设备制造业
002538.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850381,复合肥III,C26,化学原料和化学制品制造业
002539.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850381,复合肥III,C26,化学原料和化学制品制造业
002540.XSHE,HY002,材料指数,HY413,铝指数,801050,有色金属I,801055,工业金属II,850551,铝III,C32,有色金属冶炼和压延加工业
002541.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801724,专业工程II,857241,钢结构III,C33,金属制品业
002542.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801724,专业工程II,857244,其他专业工程III,E48,土木工程建筑业
002543.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851114,小家电III,C38,电气机械和器材制造业
002544.XSHE,HY008,信息技术指数,HY516,通信设备指数,801770,通信I,801102,通信设备II,851014,通信配套服务III,I65,软件和信息技术服务业
002545.XSHE,HY003,工业指数,HY421,建筑产品指数,801030,化工I,801034,化学制品II,850336,钾肥III,C33,金属制品业
002546.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801732,电气自动化设备II,857323,计量仪表III,C38,电气机械和器材制造业
002547.XSHE,HY003,工业指数,HY427,工业机械指数,801080,电子I,801085,电子制造II,850852,电子零部件制造III,C33,金属制品业
002548.XSHE,HY005,日常消费指数,HY480,农产品指数,801010,农林牧渔I,801014,饲料II,850141,饲料III,C13,农副食品加工业
002549.XSHE,HY002,材料指数,HY408,工业气体指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,N77,生态保护和环境治理业
002550.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
002551.XSHE,HY006,医疗保健指数,HY485,医疗保健设备指数,801150,医药生物I,801153,医疗器械II,851551,医疗器械III,C35,专用设备制造业
002552.XSHE,HY003,工业指数,HY426,建筑机械与重型卡车指数,801890,机械设备I,801072,通用机械II,850712,机械基础件III,C34,通用设备制造业
002553.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C34,通用设备制造业
002554.XSHE,HY001,能源指数,HY401,石油天然气设备与服务指数,801020,采掘I,801024,采掘服务II,850241,油气钻采服务III,B11,开采辅助活动
002555.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801760,传媒I,801752,互联网传媒II,852221,互联网信息服务III,I64,互联网和相关服务
002556.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850331,氮肥III,F52,零售业
002557.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851244,食品综合III,C13,农副食品加工业
002558.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801760,传媒I,801752,互联网传媒II,852222,移动互联网服务III,I64,互联网和相关服务
002559.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850711,机床工具III,C34,通用设备制造业
002560.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801734,高低压设备II,857344,线缆部件及其他III,C38,电气机械和器材制造业
002561.XSHE,HY004,可选消费指数,HY467,百货商店指数,801200,商业贸易I,801203,一般零售II,852031,百货III,F52,零售业
002562.XSHE,HY006,医疗保健指数,HY492,西药指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C27,医药制造业
002563.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851324,休闲服装III,C18,纺织服装、服饰业
002564.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850725,冶金矿采化工设备III,E48,土木工程建筑业
002565.XSHE,HY002,材料指数,HY412,纸包装指数,801140,轻工制造I,801141,包装印刷II,851421,包装印刷III,C22,造纸和纸制品业
002566.XSHE,HY006,医疗保健指数,HY572,中药指数,801150,医药生物I,801155,中药II,851521,中药III,C27,医药制造业
002567.XSHE,HY005,日常消费指数,HY480,农产品指数,801010,农林牧渔I,801014,饲料II,850141,饲料III,C13,农副食品加工业
002568.XSHE,HY005,日常消费指数,HY478,白酒与葡萄酒指数,801120,食品饮料I,801123,饮料制造II,851233,其他酒类III,C15,酒、饮料和精制茶制造业
002569.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851322,男装III,C18,纺织服装、服饰业
002570.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851243,乳品III,C14,食品制造业
002571.XSHE,HY004,可选消费指数,HY450,家用器具与特殊消费品指数,801140,轻工制造I,801142,家用轻工II,851433,其他家用轻工III,C30,非金属矿物制品业
002572.XSHE,HY004,可选消费指数,HY447,家庭装饰品指数,801140,轻工制造I,801142,家用轻工II,851432,家具III,C21,家具制造业
002573.XSHE,HY003,工业指数,HY432,环境与设施服务指数,801160,公用事业I,801162,环保工程及服务II,851641,环保工程及服务III,N77,生态保护和环境治理业
002574.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801140,轻工制造I,801142,家用轻工II,851434,珠宝首饰III,C41,其他制造业
002575.XSHE,HY004,可选消费指数,HY451,休闲用品指数,801140,轻工制造I,801142,家用轻工II,851435,文娱用品III,C24,文教、工美、体育和娱乐用品制造业
002576.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801731,电机II,850741,电机III,C38,电气机械和器材制造业
002577.XSHE,HY008,信息技术指数,HY518,电脑存储与外围设备指数,801750,计算机I,801101,计算机设备II,851021,计算机设备III,C39,计算机、通信和其他电子设备制造业
002578.XSHE,HY002,材料指数,HY413,铝指数,801050,有色金属I,801055,工业金属II,850551,铝III,C32,有色金属冶炼和压延加工业
002579.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801083,元件II,850822,印制电路板III,C39,计算机、通信和其他电子设备制造业
002580.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801733,电源设备II,857335,储能设备III,C38,电气机械和器材制造业
002581.XSHE,HY006,医疗保健指数,HY491,生物科技指数,801150,医药生物I,801152,生物制品II,851531,生物制品III,C27,医药制造业
002582.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851244,食品综合III,C13,农副食品加工业
002583.XSHE,HY008,信息技术指数,HY516,通信设备指数,801770,通信I,801102,通信设备II,851012,终端设备III,C39,计算机、通信和其他电子设备制造业
002584.XSHE,HY002,材料指数,HY409,特种化工指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C26,化学原料和化学制品制造业
002585.XSHE,HY002,材料指数,HY405,基础化工指数,801140,轻工制造I,801141,包装印刷II,851421,包装印刷III,C29,橡胶和塑料制品业
002586.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801723,基础建设II,857233,水利工程III,E48,土木工程建筑业
002587.XSHE,HY008,信息技术指数,HY596,电子设备和仪器指数,801080,电子I,801084,光学光电子II,850832,LEDIII,C39,计算机、通信和其他电子设备制造业
002588.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850381,复合肥III,C26,化学原料和化学制品制造业
002589.XSHE,HY006,医疗保健指数,HY487,保健护理产品经销商指数,801150,医药生物I,801154,医药商业II,851541,医药商业III,F51,批发业
002590.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
002591.XSHE,HY002,材料指数,HY409,特种化工指数,801760,传媒I,801751,营销传播II,852243,营销服务III,C26,化学原料和化学制品制造业
002592.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
002593.XSHE,HY002,材料指数,HY417,钢铁指数,801720,建筑装饰I,801724,专业工程II,857241,钢结构III,C36,汽车制造业
002594.XSHE,HY004,可选消费指数,HY444,汽车制造指数,801880,汽车I,801094,汽车整车II,850911,乘用车III,C36,汽车制造业
002595.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850727,其它专用机械III,C35,专用设备制造业
002596.XSHE,HY002,材料指数,HY410,建材指数,801710,建筑材料I,801713,其他建材II,850614,其他建材III,C30,非金属矿物制品业
002597.XSHE,HY002,材料指数,HY405,基础化工指数,801120,食品饮料I,801124,食品加工II,851244,食品综合III,C14,食品制造业
002598.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850716,其它通用机械III,C34,通用设备制造业
002599.XSHE,HY003,工业指数,HY429,商业印刷指数,801140,轻工制造I,801141,包装印刷II,851421,包装印刷III,C23,印刷和记录媒介复制业
002600.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801085,电子制造II,850852,电子零部件制造III,C39,计算机、通信和其他电子设备制造业
002601.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C26,化学原料和化学制品制造业
002602.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801760,传媒I,801752,互联网传媒II,852221,互联网信息服务III,I65,软件和信息技术服务业
002603.XSHE,HY006,医疗保健指数,HY572,中药指数,801150,医药生物I,801155,中药II,851521,中药III,C27,医药制造业
002604.XSHE,,,,,,,,,,,C13,农副食品加工业
002605.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801140,轻工制造I,801142,家用轻工II,851435,文娱用品III,I64,互联网和相关服务
002606.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801734,高低压设备II,857344,线缆部件及其他III,C38,电气机械和器材制造业
002607.XSHE,HY004,可选消费指数,HY574,教育服务指数,801760,传媒I,801761,文化传媒II,852244,其他文化传媒III,P82,教育
002608.XSHE,HY007,金融指数,HY500,资产管理与托管银行指数,801160,公用事业I,801161,电力II,851611,火电III,D44,电力、热力生产和供应业
002609.XSHE,HY008,信息技术指数,HY596,电子设备和仪器指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I65,软件和信息技术服务业
002610.XSHE,HY008,信息技术指数,HY524,半导体产品指数,801160,公用事业I,801161,电力II,851615,新能源发电III,C38,电气机械和器材制造业
002611.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850726,印刷包装机械III,C35,专用设备制造业
002612.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851323,女装III,C18,纺织服装、服饰业
002613.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850727,其它专用机械III,C35,专用设备制造业
002614.XSHE,HY006,医疗保健指数,HY485,医疗保健设备指数,801110,家用电器I,801111,白色家电II,851114,小家电III,C38,电气机械和器材制造业
002615.XSHE,HY004,可选消费指数,HY450,家用器具与特殊消费品指数,801140,轻工制造I,801142,家用轻工II,851433,其他家用轻工III,C33,金属制品业
002616.XSHE,HY004,可选消费指数,HY449,家用电器指数,801160,公用事业I,801161,电力II,851615,新能源发电III,C38,电气机械和器材制造业
002617.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801733,电源设备II,857333,光伏设备III,C38,电气机械和器材制造业
002618.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801083,元件II,850822,印制电路板III,C39,计算机、通信和其他电子设备制造业
002619.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801760,传媒I,801752,互联网传媒II,852222,移动互联网服务III,I64,互联网和相关服务
002620.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801722,装修装饰II,857221,装修装饰III,E50,建筑装饰和其他建筑业
002621.XSHE,HY004,可选消费指数,HY574,教育服务指数,801760,传媒I,801761,文化传媒II,852244,其他文化传媒III,P82,教育
002622.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801734,高低压设备II,857342,中压设备III,C38,电气机械和器材制造业
002623.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801710,建筑材料I,801712,玻璃制造II,850611,玻璃制造III,C30,非金属矿物制品业
002624.XSHE,HY008,信息技术指数,HY515,家庭娱乐软件指数,801760,传媒I,801752,互联网传媒II,852222,移动互联网服务III,I64,互联网和相关服务
002625.XSHE,HY003,工业指数,HY420,航天航空与国防指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
002626.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851511,化学原料药III,C14,食品制造业
002627.XSHE,HY003,工业指数,HY438,公路运输指数,801170,交通运输I,801172,公交II,851721,公交III,G54,道路运输业
002628.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801723,基础建设II,857232,路桥施工III,E48,土木工程建筑业
002629.XSHE,HY001,能源指数,HY401,石油天然气设备与服务指数,801020,采掘I,801024,采掘服务II,850241,油气钻采服务III,B11,开采辅助活动
002630.XSHE,HY003,工业指数,HY424,重型电气设备指数,801730,电气设备I,801733,电源设备II,857334,火电设备III,C34,通用设备制造业
002631.XSHE,HY002,材料指数,HY418,林木产品指数,801140,轻工制造I,801142,家用轻工II,851432,家具III,C20,木材加工和木、竹、藤、棕、草制品业
002632.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C26,化学原料和化学制品制造业
002633.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850712,机械基础件III,C34,通用设备制造业
002634.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851327,其他服装III,C18,纺织服装、服饰业
002635.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801085,电子制造II,850852,电子零部件制造III,C39,计算机、通信和其他电子设备制造业
002636.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801083,元件II,850822,印制电路板III,C39,计算机、通信和其他电子设备制造业
002637.XSHE,HY002,材料指数,HY409,特种化工指数,801030,化工I,801034,化学制品II,850334,日用化学产品III,C26,化学原料和化学制品制造业
002638.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801760,传媒I,801761,文化传媒II,852244,其他文化传媒III,C38,电气机械和器材制造业
002639.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850715,制冷空调设备III,C34,通用设备制造业
002640.XSHE,HY004,可选消费指数,HY466,互联网零售指数,801200,商业贸易I,801203,一般零售II,852033,多业态零售III,F52,零售业
002641.XSHE,HY003,工业指数,HY421,建筑产品指数,801710,建筑材料I,801713,其他建材II,850616,管材III,C29,橡胶和塑料制品业
002642.XSHE,HY008,信息技术指数,HY511,信息科技咨询与其它服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I65,软件和信息技术服务业
002643.XSHE,HY002,材料指数,HY409,特种化工指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C26,化学原料和化学制品制造业
002644.XSHE,HY006,医疗保健指数,HY572,中药指数,801150,医药生物I,801155,中药II,851521,中药III,C27,医药制造业
002645.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850728,楼宇设备III,C35,专用设备制造业
002646.XSHE,HY005,日常消费指数,HY478,白酒与葡萄酒指数,801120,食品饮料I,801123,饮料制造II,851233,其他酒类III,C15,酒、饮料和精制茶制造业
002647.XSHE,HY007,金融指数,HY512,数据处理与外包服务指数,801790,非银金融I,801191,多元金融II,851921,多元金融III,J69,其他金融业
002648.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801033,化学原料II,850324,其他化学原料III,C26,化学原料和化学制品制造业
002649.XSHE,HY008,信息技术指数,HY512,数据处理与外包服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I65,软件和信息技术服务业
002650.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851242,调味发酵品III,C14,食品制造业
002651.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850725,冶金矿采化工设备III,C35,专用设备制造业
002652.XSHE,HY003,工业指数,HY421,建筑产品指数,801710,建筑材料I,801713,其他建材II,850614,其他建材III,C33,金属制品业
002653.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
002654.XSHE,HY008,信息技术指数,HY524,半导体产品指数,801760,传媒I,801751,营销传播II,852243,营销服务III,L72,商务服务业
002655.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801085,电子制造II,850851,电子系统组装III,C39,计算机、通信和其他电子设备制造业
002656.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851322,男装III,C18,纺织服装、服饰业
002657.XSHE,HY008,信息技术指数,HY511,信息科技咨询与其它服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I65,软件和信息技术服务业
002658.XSHE,HY008,信息技术指数,HY596,电子设备和仪器指数,801160,公用事业I,801162,环保工程及服务II,851641,环保工程及服务III,C40,仪器仪表制造业
002659.XSHE,HY004,可选消费指数,HY574,教育服务指数,801760,传媒I,801761,文化传媒II,852244,其他文化传媒III,P82,教育
002660.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801080,电子I,801085,电子制造II,850852,电子零部件制造III,C39,计算机、通信和其他电子设备制造业
002661.XSHE,HY005,日常消费指数,HY481,食品加工与肉类指数,801120,食品饮料I,801124,食品加工II,851244,食品综合III,C14,食品制造业
002662.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
002663.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801725,园林工程II,857251,园林工程III,E48,土木工程建筑业
002664.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801740,国防军工I,801742,航空装备II,857421,航空装备III,C36,汽车制造业
002665.XSHE,HY003,工业指数,HY424,重型电气设备指数,801730,电气设备I,801733,电源设备II,857334,火电设备III,C38,电气机械和器材制造业
002666.XSHE,HY002,材料指数,HY409,特种化工指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C26,化学原料和化学制品制造业
002667.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850725,冶金矿采化工设备III,C35,专用设备制造业
002668.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851111,冰箱III,C38,电气机械和器材制造业
002669.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801034,化学制品II,850339,其他化学制品III,C26,化学原料和化学制品制造业
002670.XSHE,HY007,金融指数,HY501,投资银行业与经纪业指数,801790,非银金融I,801193,证券II,851931,证券III,J67,资本市场服务
002671.XSHE,HY003,工业指数,HY421,建筑产品指数,801710,建筑材料I,801713,其他建材II,850616,管材III,C30,非金属矿物制品业
002672.XSHE,HY003,工业指数,HY432,环境与设施服务指数,801160,公用事业I,801162,环保工程及服务II,851641,环保工程及服务III,C42,废弃资源综合利用业
002673.XSHE,HY007,金融指数,HY501,投资银行业与经纪业指数,801790,非银金融I,801193,证券II,851931,证券III,J67,资本市场服务
002674.XSHE,HY004,可选消费指数,HY454,鞋类指数,801130,纺织服装I,801131,纺织制造II,851315,辅料III,C19,皮革、毛皮、羽毛及其制品和制鞋业
002675.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
002676.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851115,家电零部件III,C29,橡胶和塑料制品业
002677.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851114,小家电III,C38,电气机械和器材制造业
002678.XSHE,HY004,可选消费指数,HY451,休闲用品指数,801140,轻工制造I,801142,家用轻工II,851435,文娱用品III,C24,文教、工美、体育和娱乐用品制造业
002679.XSHE,HY002,材料指数,HY418,林木产品指数,801010,农林牧渔I,801011,林业II,850131,林业III,A02,林业
002680.XSHE,,,,,,,,,,,C27,医药制造业
002681.XSHE,HY004,可选消费指数,HY446,消费电子产品指数,801080,电子I,801085,电子制造II,850852,电子零部件制造III,C39,计算机、通信和其他电子设备制造业
002682.XSHE,HY003,工业指数,HY438,公路运输指数,801170,交通运输I,801178,物流II,851781,物流III,G54,道路运输业
002683.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801034,化学制品II,850337,民爆用品III,B11,开采辅助活动
002684.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C38,电气机械和器材制造业
002685.XSHE,HY003,工业指数,HY428,贸易公司与工业品经销商指数,801890,机械设备I,801072,通用机械II,850711,机床工具III,C34,通用设备制造业
002686.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850716,其它通用机械III,C34,通用设备制造业
002687.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801130,纺织服装I,801132,服装家纺II,851322,男装III,C18,纺织服装、服饰业
002688.XSHE,HY006,医疗保健指数,HY492,西药指数,801010,农林牧渔I,801018,动物保健II,850181,动物保健III,C27,医药制造业
002689.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850728,楼宇设备III,C34,通用设备制造业
002690.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850727,其它专用机械III,C35,专用设备制造业
002691.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801074,专用设备II,850725,冶金矿采化工设备III,C35,专用设备制造业
002692.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801730,电气设备I,801734,高低压设备II,857344,线缆部件及其他III,C38,电气机械和器材制造业
