,jq_l1_industry_code,jq_l1_industry_name,jq_l2_industry_code,jq_l2_industry_name,sw_l1_industry_code,sw_l1_industry_name,sw_l2_industry_code,sw_l2_industry_name,sw_l2_industry_code,sw_l2_industry_name,zjw_industry_code,zjw_industry_name
000023.XSHE,HY002,材料指数,HY410,建材指数,801710,建筑材料I,801713,其他建材II,850614,其他建材III,C30,非金属矿物制品业
000024.XSHE,,,,,,,,,,,K70,房地产业
000025.XSHE,HY004,可选消费指数,HY576,汽车零售指数,801880,汽车I,801092,汽车服务II,850941,汽车服务III,F51,批发业
000026.XSHE,HY004,可选消费指数,HY453,服装、服饰与奢侈品指数,801140,轻工制造I,801142,家用轻工II,851434,珠宝首饰III,F52,零售业
000027.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851611,火电III,D44,电力、热力生产和供应业
000028.XSHE,HY006,医疗保健指数,HY487,保健护理产品经销商指数,801150,医药生物I,801154,医药商业II,851541,医药商业III,F51,批发业
000029.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000030.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
000031.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000032.XSHE,HY008,信息技术指数,HY521,技术产品经销商指数,801770,通信I,801102,通信设备II,851012,终端设备III,F51,批发业
000033.XSHE,,,,,,,,,,,H61,住宿业
000034.XSHE,HY008,信息技术指数,HY521,技术产品经销商指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,F51,批发业
000035.XSHE,HY003,工业指数,HY432,环境与设施服务指数,801160,公用事业I,801162,环保工程及服务II,851641,环保工程及服务III,N77,生态保护和环境治理业
000036.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000037.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851613,燃机发电III,D44,电力、热力生产和供应业
000038.XSHE,HY004,可选消费指数,HY460,广告指数,801760,传媒I,801751,营销传播II,852243,营销服务III,L72,商务服务业
000039.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801075,金属制品II,850751,金属制品III,C33,金属制品业
000040.XSHE,HY010,公用事业指数,HY601,新能源发电业者指数,801160,公用事业I,801161,电力II,851615,新能源发电III,D44,电力、热力生产和供应业
000042.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000043.XSHE,,,,,,,,,,,K70,房地产业
000045.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801084,光学光电子II,850831,显示器件III,C39,计算机、通信和其他电子设备制造业
