KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,RMTREASNO,RMCRSPID,TMBIDYTM,TMASKYTM,TMYTM,TMDURATN
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/1/31,203118,20000302.4,5.39E+00,5.38E+00,5.39E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/2/29,203122,20000330.4,5.32E+00,5.31E+00,5.31E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/3/31,203133,20000504.4,5.86E+00,5.85E+00,5.86E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/4/28,203141,20000601.4,5.28E+00,5.26E+00,5.27E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/5/31,203149,20000706.4,4.68E+00,4.67E+00,4.67E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/6/30,203155,20000803.4,5.63E+00,5.62E+00,5.63E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/7/31,203164,20000831.4,5.88E+00,5.87E+00,5.87E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/8/31,203172,20001005.4,6.24E+00,6.23E+00,6.23E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/9/29,203178,20001102.4,5.92E+00,5.91E+00,5.92E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/10/31,203186,20001130.4,6.03E+00,6.02E+00,6.03E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/11/30,203195,20010104.4,6.12E+00,6.11E+00,6.12E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2000/12/29,203202,20010201.4,5.77E+00,5.76E+00,5.77E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/1/31,203212,20010308.4,4.83E+00,4.82E+00,4.83E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/2/28,203218,20010405.4,5.02E+00,5.01E+00,5.01E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/3/30,203226,20010503.4,4.44E+00,4.43E+00,4.43E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/4/30,203235,20010531.4,3.75E+00,3.74E+00,3.74E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/5/31,203243,20010705.4,3.45E+00,3.44E+00,3.45E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/6/29,203249,20010802.4,3.42E+00,3.41E+00,3.41E+00,34
